Data File: BRS2005(Full Data Codebook)

1) ID
ID
RANGE: 12257292 to 22200997
	N	Mean	Std. Deviation
Total	1721	14650782.758	4225301.711
12257292)	1	0.1
12257293)	1	0.1
12257294)	1	0.1
12257296)	1	0.1
12257297)	1	0.1
12257300)	1	0.1
12257303)	1	0.1
12257304)	1	0.1
12257306)	1	0.1
12257307)	1	0.1
12257308)	1	0.1
12257309)	1	0.1
12257311)	1	0.1
12257313)	1	0.1
12257315)	1	0.1
12257316)	1	0.1
12257318)	1	0.1
12257319)	1	0.1
12257320)	1	0.1
12257321)	1	0.1
12257322)	1	0.1
12257323)	1	0.1
12257324)	1	0.1
12257326)	1	0.1
12257328)	1	0.1
12257331)	1	0.1
12257333)	1	0.1
12257335)	1	0.1
12257336)	1	0.1
12257337)	1	0.1
12257338)	1	0.1
12257340)	1	0.1
12257343)	1	0.1
12257345)	1	0.1
12257346)	1	0.1
12257348)	1	0.1
12257349)	1	0.1
12257350)	1	0.1
12257351)	1	0.1
12257352)	1	0.1
12257355)	1	0.1
12257356)	1	0.1
12257359)	1	0.1
12257361)	1	0.1
12257362)	1	0.1
12257363)	1	0.1
12257364)	1	0.1
12257365)	1	0.1
12257366)	1	0.1
12257369)	1	0.1
12257370)	1	0.1
12257371)	1	0.1
12257372)	1	0.1
12257373)	1	0.1
12257374)	1	0.1
12257375)	1	0.1
12257376)	1	0.1
12257377)	1	0.1
12257378)	1	0.1
12257379)	1	0.1
12257381)	1	0.1
12257384)	1	0.1
12257386)	1	0.1
12257387)	1	0.1
12257388)	1	0.1
12257389)	1	0.1
12257391)	1	0.1
12257392)	1	0.1
12257393)	1	0.1
12257394)	1	0.1
12257397)	1	0.1
12257398)	1	0.1
12257399)	1	0.1
12257400)	1	0.1
12257401)	1	0.1
12257402)	1	0.1
12257403)	1	0.1
12257404)	1	0.1
12257406)	1	0.1
12257407)	1	0.1
12257408)	1	0.1
12257409)	1	0.1
12257410)	1	0.1
12257411)	1	0.1
12257412)	1	0.1
12257413)	1	0.1
12257416)	1	0.1
12257417)	1	0.1
12257418)	1	0.1
12257422)	1	0.1
12257424)	1	0.1
12257425)	1	0.1
12257426)	1	0.1
12257427)	1	0.1
12257429)	1	0.1
12257430)	1	0.1
12257431)	1	0.1
12257433)	1	0.1
12257434)	1	0.1
12257435)	1	0.1
12257436)	1	0.1
12257439)	1	0.1
12257441)	1	0.1
12257442)	1	0.1
12257443)	1	0.1
12257445)	1	0.1
12257446)	1	0.1
12257447)	1	0.1
12257449)	1	0.1
12257450)	1	0.1
12257451)	1	0.1
12257452)	1	0.1
12257453)	1	0.1
12257455)	1	0.1
12257456)	1	0.1
12257457)	1	0.1
12257458)	1	0.1
12257463)	1	0.1
12257464)	1	0.1
12257465)	1	0.1
12257466)	1	0.1
12257469)	1	0.1
12257470)	1	0.1
12257471)	1	0.1
12257472)	1	0.1
12257474)	1	0.1
12257476)	1	0.1
12257477)	1	0.1
12257478)	1	0.1
12257479)	1	0.1
12257481)	1	0.1
12257482)	1	0.1
12257483)	1	0.1
12257486)	1	0.1
12257487)	1	0.1
12257489)	1	0.1
12257491)	1	0.1
12257492)	1	0.1
12257493)	1	0.1
12257494)	1	0.1
12257495)	1	0.1
12257496)	1	0.1
12257498)	1	0.1
12257499)	1	0.1
12257500)	1	0.1
12257502)	1	0.1
12257505)	1	0.1
